127.0.0.1 - - [11/Aug/2020:14:27:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:27:49 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:27:49 +0900] "GET /Goncha/resources/css/homepage1.css HTTP/1.1" 200 4678
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:28:11 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:28:13 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:28:13 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:28:41 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:28:42 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:28:42 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5797
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:29:02 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:29:20 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:29:20 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:29:20 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:29:24 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:30:46 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [11/Aug/2020:14:30:46 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 5914
